,1709
POINT (12.564107252447135 55.689364472953685),24
POINT (12.564161158933818 55.670011091625724),45
POINT (12.564176370518227 55.680756996860616),11
POINT (12.564237148890255 55.688743767720034),24
POINT (12.564242144761984 55.690184195857285),56
POINT (12.56426402937481 55.66819857029238),31
POINT (12.564298109830895 55.68210670836932),30
POINT (12.564310616846265 55.684994729263586),11
POINT (12.564389245507627 55.70147723070855),50
POINT (12.56441148133755 55.699752131244075),39
POINT (12.564479266228854 55.680740454782686),53
POINT (12.564602458948722 55.67118701058643),27
POINT (12.564674807891217 55.67685348197834),58
POINT (12.564743625992033 55.68974294886455),26
POINT (12.564790188017907 55.67670200466925),80
POINT (12.564808892762851 55.69072597958082),53
POINT (12.5648522554394 55.681668497831495),23
POINT (12.564925940697606 55.69282647010127),67
POINT (12.564942846695288 55.69304034382868),7
POINT (12.565019389986132 55.668586513489615),14
POINT (12.56504384035463 55.68149417143131),89
POINT (12.565168270804124 55.70040941499269),63
POINT (12.565182780554402 55.66981033954968),84
POINT (12.56522180149589 55.6834459565631),106
POINT (12.565305456086007 55.69920023839507),139
POINT (12.56534899454322 55.69558278459137),112
POINT (12.56541067579612 55.70704926432339),1
POINT (12.56541392152953 55.69022798376575),22
POINT (12.565426677442389 55.68239692039687),33
POINT (12.565477511347185 55.66956305757761),14
POINT (12.565487363101816 55.704906935549324),44
POINT (12.565564060234086 55.705304494660226),15
POINT (12.56557653640952 55.678517044686515),134
POINT (12.565578383655179 55.676041579041666),5
POINT (12.56564549869816 55.69079795603166),18
POINT (12.565649593217717 55.6822824016025),58
POINT (12.56598431635851 55.68507452634243),69
POINT (12.566026395622933 55.68415532344127),69
POINT (12.56602643640402 55.678597973744154),75
POINT (12.5660921437351 55.6914051585029),44
POINT (12.566107871340106 55.67782743364014),234
POINT (12.566308187377208 55.67917067888057),64
POINT (12.566514625526759 55.683621603113146),32
POINT (12.56656936709846 55.67970964019073),66
POINT (12.566577483030551 55.68455174223546),39
POINT (12.566615785288713 55.69482309163238),112
POINT (12.566635441808453 55.69840290634903),99
POINT (12.566636116369121 55.707275944819),13
POINT (12.56666769440555 55.677935130367835),48
POINT (12.56668788420065 55.68551527642283),35
POINT (12.566734990384575 55.67949948943218),40
POINT (12.566811950443626 55.68559545853576),12
POINT (12.566852689102262 55.68351707130821),16
POINT (12.566931172425047 55.69195662018589),43
POINT (12.56705626596921 55.686189311940325),7
POINT (12.567070787072064 55.69188981456922),7
POINT (12.567169973229836 55.68281083662001),7
POINT (12.567205170540614 55.67961764045707),17
POINT (12.567271893342786 55.704391308987),6
POINT (12.567281835410524 55.68631059414818),40
POINT (12.567395060107238 55.67726630182138),25
POINT (12.567416644367583 55.68036827922165),73
POINT (12.567473664109153 55.68676941685137),73
POINT (12.567491160062422 55.680107270846136),44
POINT (12.567491468917838 55.678819275326425),59
POINT (12.567515239273016 55.69787222379273),124
POINT (12.56772044333382 55.692631341141265),10
POINT (12.567757477070018 55.68473355667697),10
POINT (12.567873610411755 55.68571962372745),51
POINT (12.567889446166049 55.69438502041607),118
POINT (12.568096361099586 55.703511891867564),7
POINT (12.56818934691832 55.68097230986304),107
POINT (12.568266182602205 55.69479396416344),159
POINT (12.568266928337014 55.680402426761084),37
POINT (12.568282351370756 55.67953919784131),40
POINT (12.568297474053258 55.67818123949056),48
POINT (12.56829825925676 55.70758087245936),7
POINT (12.568352292259055 55.68376262005719),53
POINT (12.568447096410232 55.6808074051118),10
POINT (12.56846182630148 55.68637063993822),34
POINT (12.56859745210495 55.70368158971177),109
POINT (12.56867114589514 55.70730165373324),4
POINT (12.56881489357756 55.697095646533704),117
POINT (12.56881629215345 55.69310614914109),18
POINT (12.569117284165527 55.69360863649382),65
POINT (12.569128168056363 55.695064821128206),179
POINT (12.56918137066612 55.69532707271835),83
POINT (12.569283319470419 55.67707671784163),30
POINT (12.56933542473831 55.67856952289732),42
POINT (12.569351861112079 55.6792567978082),39
POINT (12.56945860635135 55.671079959731415),98
POINT (12.569536311821388 55.672131560806164),60
POINT (12.569572801020874 55.68002406797681),2
POINT (12.569724586504195 55.67807112696693),50
POINT (12.56988091492698 55.70274187209181),40
POINT (12.569933611302904 55.696420786394754),63
POINT (12.569968119596396 55.68500111645497),104
POINT (12.570048170859872 55.67258699558836),55
POINT (12.570175546693735 55.69580749271093),74
POINT (12.570186932123432 55.67065073826033),85
POINT (12.570215142798936 55.68426699089979),23
POINT (12.570278525428229 55.686686391583606),44
POINT (12.570332025178717 55.67008566199464),187
POINT (12.570343255439813 55.671348750637115),110
POINT (12.570349686267942 55.69334970748111),37
POINT (12.570367046760623 55.694375662383244),70
POINT (12.570500231091728 55.68650146116754),47
POINT (12.570554304383315 55.677469969971455),68
POINT (12.570557267264963 55.67904201620108),46
POINT (12.570587431102817 55.69291110684987),42
POINT (12.570593437939376 55.67205281622774),160
POINT (12.570614701078508 55.67408626468948),76
POINT (12.570677060993285 55.679658081895624),3
POINT (12.570786336968286 55.6725949621841),59
POINT (12.570808526352968 55.695898496438964),37
POINT (12.570899267008267 55.67790711615445),5
POINT (12.570925044856025 55.669315059220196),127
POINT (12.570983648945893 55.68929356961681),32
POINT (12.570998053079155 55.70712621597436),60
POINT (12.571150862167615 55.674316936716124),48
POINT (12.571151245137253 55.70198114630292),59
POINT (12.571241991515679 55.67169880544458),119
POINT (12.571271948666272 55.68443228028022),63
POINT (12.571326155638396 55.689544430935385),36
POINT (12.571457283879779 55.671077023118436),17
POINT (12.571499358188877 55.70782291027638),7
POINT (12.571514236979088 55.68502040204073),24
POINT (12.571597724470564 55.69657098494879),46
POINT (12.57165405597267 55.669625237561824),34
POINT (12.571676567701159 55.668781144770406),72
POINT (12.57171968507771 55.70822194338398),9
POINT (12.571721972949529 55.69362364402046),20
POINT (12.571737241483318 55.67697818369514),54
POINT (12.571739006523746 55.68993720617969),23
POINT (12.571765025829393 55.70633617495179),56
POINT (12.571803621548124 55.67641405160984),146
POINT (12.571956025113561 55.69525169463652),55
POINT (12.572000579304222 55.69656572589725),53
POINT (12.572058839543947 55.687899348854046),43
POINT (12.572156778682729 55.67580114394065),105
POINT (12.57218803299704 55.6876506021208),61
POINT (12.57236655339022 55.66912124248949),20
POINT (12.572371399288146 55.68923764220731),27
POINT (12.572415411262266 55.690205949806085),29
POINT (12.572455194909034 55.67213360056413),47
POINT (12.572522023384678 55.6943034890624),12
POINT (12.572581838304275 55.67189644505227),63
