FID,id,centroids
stednavn_flade.fid-7af2ebb0_1482643ff9f_-442b,39479,POINT (12.58361893423961 55.67662026088028)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-442a,38902,POINT (12.5727481259979 55.67939375989292)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4429,38905,POINT (12.57154723083231 55.67939766268944)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4428,164563,POINT (12.57582713523111 55.63176016936671)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4427,164564,POINT (12.54998266889511 55.6707546903865)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4426,164565,POINT (12.55944280172977 55.7040791421431)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4425,38914,POINT (12.56898301267785 55.67956557443107)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4424,38920,POINT (12.56949166283983 55.67972365719222)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4423,164566,POINT (12.60496742209673 55.66300102069376)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4422,164106,POINT (12.56105494035653 55.68823254151426)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4421,39359,POINT (12.57839659778559 55.67673806874868)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4420,39500,POINT (12.58920450505318 55.67440316238164)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-441f,39126,POINT (12.57078932040074 55.68042068584047)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-441e,164118,POINT (12.56144606365912 55.67018143161544)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-441d,39078,POINT (12.57353456367809 55.68112922889576)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-441c,38714,POINT (12.57270127395357 55.6755930464116)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-441b,38338,POINT (12.57446255514461 55.68050296974808)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-441a,164061,POINT (12.53487005685581 55.66535524233822)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4419,164080,POINT (12.57657765964597 55.68265588800606)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4418,164555,POINT (12.59332614877062 55.6627386713932)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4417,38013,POINT (12.54610975816247 55.68753323709041)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4416,39017,POINT (12.57094994419362 55.67941527096728)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4415,164178,POINT (12.5604910690704 55.69154070214108)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4414,38507,POINT (12.57153120778651 55.67464848025708)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4413,164561,POINT (12.59745512462666 55.65734055525083)
